iter	MultiClass
0	1.006076132
1	0.9205944158
2	0.8503734941
3	0.783968588
4	0.7287774476
5	0.6719656754
6	0.6260227978
7	0.5845354599
8	0.5526166177
9	0.5210598116
10	0.4890805782
11	0.4600786296
12	0.4388271679
13	0.4126376764
14	0.3918201644
15	0.3705449902
16	0.3526769773
17	0.3364118003
18	0.3220230738
19	0.3058316822
20	0.2904819243
21	0.2756557108
22	0.2621258748
23	0.2496684655
24	0.2407902049
25	0.23009997
26	0.2205084781
27	0.2114794842
28	0.2036880056
29	0.196720019
30	0.1905407109
31	0.1855049061
32	0.176962454
33	0.1715033638
34	0.1648150393
35	0.1584213643
36	0.1528486959
37	0.1477805822
38	0.1432735804
39	0.1392376019
40	0.1342998329
41	0.1312246749
42	0.1275122513
43	0.1233233029
44	0.1202303309
45	0.1168410675
46	0.1145092625
47	0.1112282243
48	0.1081569928
49	0.1050663045
50	0.1022906021
51	0.09932530358
52	0.09693668708
53	0.09515709263
54	0.09313737412
55	0.09103995494
56	0.0894451218
57	0.0875934728
58	0.08618783021
59	0.08472548939
60	0.08329809147
61	0.08110992715
62	0.07950236061
63	0.07758380264
64	0.07608950069
65	0.07475030936
66	0.07328263544
67	0.0719003174
68	0.07052974156
69	0.06925281158
70	0.06784162251
71	0.06656295823
72	0.06521158724
73	0.06411285749
74	0.06284306276
75	0.06175795034
76	0.06057433701
77	0.05975965021
78	0.05868073804
79	0.05766319148
80	0.05687636688
81	0.05567250105
82	0.05501537087
83	0.05413212567
84	0.05326169076
85	0.05263243603
86	0.05178631688
87	0.05109366834
88	0.05030385913
89	0.04950703623
90	0.04885888456
91	0.04808490938
92	0.04741481693
93	0.04674935894
94	0.04595108819
95	0.04527277554
96	0.04456091275
97	0.04395901755
98	0.04345212623
99	0.04302784536
100	0.04251278608
101	0.04200315813
102	0.04155217976
103	0.04104158824
104	0.04051579292
105	0.03994890221
106	0.03929056819
107	0.03882977898
108	0.0384477564
109	0.03788089645
110	0.03745098388
111	0.03706565395
112	0.03670689404
113	0.03639611182
114	0.03600234691
115	0.03558226141
116	0.03517035967
117	0.03494279087
118	0.03453675769
119	0.03406473544
120	0.03369027095
121	0.03327908246
122	0.03290645302
123	0.03254319569
124	0.03233149142
125	0.03196486417
126	0.03172416831
127	0.03149737843
128	0.03124844509
129	0.03082089844
130	0.03057349763
131	0.03029259686
132	0.03000554786
133	0.02964770581
134	0.02938937855
135	0.0291937605
136	0.02894069685
137	0.02861449735
138	0.02841575136
139	0.02797318475
140	0.02776387633
141	0.02755551672
142	0.02734899608
143	0.027045884
144	0.02679135236
145	0.02659047929
146	0.02642600069
147	0.0262503068
148	0.025890403
149	0.02566575022
150	0.02545420568
151	0.02523901846
152	0.025025419
153	0.02479975423
154	0.02463804925
155	0.02440432617
156	0.02410891446
157	0.02399025845
158	0.02380901679
159	0.02355340427
160	0.02336909186
161	0.02311724009
162	0.02295238836
163	0.02279301307
164	0.02258999164
165	0.02239014882
166	0.02221920844
167	0.02203502906
168	0.02188900024
169	0.02178604411
170	0.02154871403
171	0.02142699726
172	0.02131256469
173	0.02127255471
174	0.02110219248
175	0.02098299467
176	0.02079312884
177	0.02067084009
178	0.02057254058
179	0.02045944726
180	0.02030640866
181	0.02018199536
182	0.02007828362
183	0.01991850757
184	0.01977037742
185	0.01963453431
186	0.01952371232
187	0.01938467189
188	0.01923078257
189	0.01907320928
190	0.01889700346
191	0.01880475026
192	0.01865090459
193	0.01858037845
194	0.01847565098
195	0.01840116723
196	0.01827253182
197	0.0182577452
198	0.01816555135
199	0.01804772947
200	0.01794185557
201	0.0178563375
202	0.01770728986
203	0.0176078384
204	0.01745546573
205	0.01733135256
206	0.01721043538
207	0.01716322293
208	0.01708840637
209	0.01699145171
210	0.01689570764
211	0.01681737609
212	0.01674815504
213	0.01664894415
214	0.01656100085
215	0.01646838683
216	0.0163973455
217	0.0163242928
218	0.016231211
219	0.01614887159
220	0.01605347854
221	0.01596070454
222	0.0158880357
223	0.01580691478
224	0.01574740812
225	0.01566963122
226	0.01558429826
227	0.01548583874
228	0.01539499358
229	0.01530603916
230	0.01523447218
231	0.01517453209
232	0.01510750181
233	0.01503249174
234	0.01497233596
235	0.01486886015
236	0.01477782421
237	0.01469355896
238	0.01463106922
239	0.01455254642
240	0.01446740235
241	0.01440348741
242	0.01431880516
243	0.01424870142
244	0.01417823488
245	0.01408620382
246	0.01401133663
247	0.01394386884
248	0.01388052255
249	0.01379192781
250	0.01372832104
251	0.01368163866
252	0.01360080802
253	0.01350915808
254	0.01348493111
255	0.01342207532
256	0.01336756769
257	0.01331686504
258	0.01326346339
259	0.01319393145
260	0.01313097326
261	0.01302548061
262	0.01296137885
263	0.01289966012
264	0.01284396888
265	0.01278495063
266	0.01271625764
267	0.01264893703
268	0.01260038919
269	0.01254641972
270	0.01246675282
271	0.01240537101
272	0.01235246093
273	0.01230539759
274	0.01226218685
275	0.01220629577
276	0.0121214573
277	0.01204660034
278	0.01199924401
279	0.01195543776
280	0.01190756991
281	0.01189702965
282	0.01184089052
283	0.01179719374
284	0.0117453698
285	0.01166111746
286	0.0116174655
287	0.01159530418
288	0.01156357518
289	0.0115208845
290	0.01147532609
291	0.01141061379
292	0.01137301609
293	0.01131016224
294	0.01123985967
295	0.0111915777
296	0.01113321064
297	0.01107263663
298	0.01101514159
299	0.010966889
300	0.0109299707
301	0.01088809078
302	0.01085544745
303	0.01081235316
304	0.01077699686
305	0.01074293456
306	0.01071015441
307	0.01067853675
308	0.0106358295
309	0.01059203209
310	0.01056199632
311	0.01052953111
312	0.01049605703
313	0.01046020879
314	0.01042862781
315	0.01038983017
316	0.01032684853
317	0.01028681273
318	0.01027607459
319	0.01024043512
320	0.01020519826
321	0.0101743219
322	0.01014990615
323	0.01012747786
324	0.01008371936
325	0.01004241621
326	0.009999734387
327	0.009961060533
328	0.009914698565
329	0.009874442343
330	0.009846157797
331	0.009810402367
332	0.009771372661
333	0.009724122316
334	0.009692544829
335	0.009685503266
336	0.009634913233
337	0.009601013711
338	0.009563888294
339	0.009538752491
340	0.009512251273
341	0.009474735774
342	0.009449516896
343	0.00941777585
344	0.009396273121
345	0.00936324751
346	0.009351900051
347	0.009326405045
348	0.009291568857
349	0.009241509421
350	0.009211250204
351	0.00917367271
352	0.00914808521
353	0.009095079202
354	0.009072548465
355	0.009037997375
356	0.009016814897
357	0.008985827905
358	0.008955845397
359	0.008915972474
360	0.008880717177
361	0.008852359445
362	0.00882843201
363	0.008797645894
364	0.00876721224
365	0.008726837136
366	0.008713617978
367	0.008702855485
368	0.008683917394
369	0.008666333274
370	0.008633145218
371	0.008602410504
372	0.008563112275
373	0.008556395238
374	0.00853032921
375	0.008495445772
376	0.008473336804
377	0.008450130641
378	0.008418659536
379	0.008396042613
380	0.008366435321
381	0.008335872632
382	0.008306643563
383	0.008282573471
384	0.00825837343
385	0.008227227164
386	0.008206184514
387	0.008185980153
388	0.008171567137
389	0.008147433591
390	0.008113488326
391	0.008085593677
392	0.008061085116
393	0.008028788883
394	0.008011336427
395	0.007987747104
396	0.007970727571
397	0.007943630294
398	0.007923781236
399	0.0079059758
400	0.00787804201
401	0.007855647241
402	0.007824565777
403	0.007810564669
404	0.007793307816
405	0.007763665822
406	0.00774577226
407	0.007728044535
408	0.007713647468
409	0.007688471858
410	0.007666798688
411	0.007631642084
412	0.007608555254
413	0.00758997288
414	0.007555439659
415	0.00753912235
416	0.007512282309
417	0.007486115929
418	0.007470083451
419	0.007452047484
420	0.007430848143
421	0.007408713074
422	0.00738920122
423	0.00736247615
424	0.007347240011
425	0.007330559752
426	0.007309231556
427	0.007292117114
428	0.007270574297
429	0.007249629152
430	0.007234044326
431	0.007220922172
432	0.007202386697
433	0.007186362117
434	0.007178519738
435	0.007154953609
436	0.007132017159
437	0.007109866782
438	0.007077852255
439	0.00706050447
440	0.007023457045
441	0.007008554378
442	0.007004792161
443	0.007001834123
444	0.006977348801
445	0.006958226393
446	0.00693492895
447	0.006916174154
448	0.006896406923
449	0.006877423221
450	0.006859369174
451	0.006843647623
452	0.00682515505
453	0.006809935567
454	0.006792709557
455	0.006776446921
456	0.006761912074
457	0.006727819222
458	0.006711466861
459	0.006699986186
460	0.006679133492
461	0.006653523893
462	0.006640323684
463	0.006621598587
464	0.006605843424
